,TID,English,Arabic,Chinese Simplified,Chinese Traditional,Dutch,Filipino,Finnish,French,German,Hindi,Indonesian,Italian,Korean,Japanese,Malay,Norwegian,Polish,Portuguese,Portuguese Brazil,Russian,Spanish,Swedish,Thai,Turkish (old),Turkish,Vietnamese
580,Birds Worship Phoenix,Birds Worship Phoenix,مئات الطيور عبادة فينيكس,百鸟朝凤,百鳥朝鳳,Birds aanbidden Phoenix,Birds Worship Phoenix,Linnut palvovat Phoenixia,Les oiseaux adorent Phoenix,Birds Worship Phoenix,पक्षी फीनिक्स की पूजा करते हैं,Burung menyembah Phoenix,Gli uccelli adorano Phoenix,Birds Worship Phoenix,百鳥朝鳳,Burung menyembah Phoenix,Fugler tilber Phoenix,Ptaki czczą Phoenix,Os pássaros adoram Phoenix,Os pássaros adoram Phoenix,Птицы поклоняются фениксу,Pájaros adorar fénix,Fåglar dyrkar Phoenix,นกนมัสการฟีนิกซ์,Kuşlar Phoenix'e İbadet,Kuşlar Anka'ya Tapıyor,Chim tôn thờ Phoenix
581,Bella Ciao,Bella Ciao,مع السلامة يا أصدقائي,啊朋友再见,啊朋友再見,Bella Ciao,Bella Ciao,Bella Ciao,Bella Ciao,Bella Ciao,बेला सियाओ,Bella Ciao,Bella Ciao,안녕 내사랑,さらば恋人よ,Bella Ciao,Bella Ciao,Bella Ciao,Bella Ciao,Bella Ciao,Белла Чао,Bella Ciao,Bella ciao,Bella Ciao,Bella Ciao,Hoşça Kal Güzel,Bella Ciao
582,Two Minute Rhapsody,Two Minute Rhapsody,الرابسودي لدقيقتين,两分钟狂想曲,兩分鐘狂想曲,Twee minuten Rhapsody,Two Minute Rhapsody,Kahden minuutin rhapsody,Rhapsody de deux minutes,Two Minute Rhapsody,दो मिनट के रैप्सोडी,Rhapsody dua menit,Rhapsody di due minuti,투 미닛 랩소디,2分間のラプソディ,Dua minit Rhapsody,To minutters Rhapsody,Dwie minuty Rhapsody,Rhapsody de dois minutos,Rhapsody de dois minutos,Двухминутная рапсодия,Rapsodia de dos minutos,Två minuters rhapsodi,Rhapsody สองนาที,İki dakikalık rhapsody,İki Dakikalık Rapsodi,Hai phút Rhapsody
583,Prisoners Dream,Prisoners Dream,حلم المسجون,夜囚梦醒,夜囚夢醒,Gevangenen dromen,Prisoners Dream,Vangit haaveilevat,Les prisonniers rêvent,Prisoners Dream,कैदियों का सपना,Mimpi tahanan,I prigionieri sognano,죄수의 꿈,プリズナーズ・ドリーム,Impian Banduan,Fanger drømmer,Więźniowie marzą,Prisioneiros sonham,Prisioneiros sonham,Сон заключенного,Sueño de los prisioneros,Fångar drömmer,นักโทษฝัน,Mahkumlar rüya görüyor,Mahkûmun Rüyası,Tù nhân mơ ước
584,London Bridge Is Falling Down,London Bridge Is Falling Down,جسر لندن في سقوط,伦敦铁桥垮下来,倫敦鐵橋垮下來,London Bridge valt naar beneden,London Bridge Is Falling Down,Lontoon silta putoaa,Le pont de Londres s'effondre,London Bridge Is Falling Down,लन्दन का पुल गिर रहा है,Jembatan London sedang runtuh,Il ponte di Londra sta crollando,런던 브리지가 무너지고 있다,ロンドン橋落ちた,Jambatan London jatuh,London Bridge faller ned,London Bridge spada,A Ponte de Londres está caindo,A Ponte de Londres está caindo,Лондонский мост падает,El puente de Londres se está callendo,London Bridge faller ner,สะพานลอนดอนกำลังล้มลง,Londra Köprüsü yıkılıyor,Londra Köprüsü Çöküyor,Cầu London đang rơi xuống
585,Old Black Joe,Old Black Joe,جو أسود القديمة,老黑奴,老黑奴,Oude zwarte Joe,Old Black Joe,Vanha musta Joe,Old Black Joe,Old Black Joe,ओल्ड ब्लैक जो,Joe hitam tua,Old Black Joe,올드 블랙 조,オールド・ブラック・ジョー,Old Black Joe,Old Black Joe,Old Black Joe,Old Black Joe,Old Black Joe,Старый черный Джо,Viejo Joe Black,Old Black Joe,Joe Black Old,Eski Siyah Joe,Yaşlı Siyah Joe,Old Black Joe
586,Little Red Riding Hood,Little Red Riding Hood,البنت التي لقبها القبعة الحمراء,小红帽,小紅帽,Roodkapje,Little Red Riding Hood,Pieni Punahilkka,Le petit Chaperon rouge,Little Red Riding Hood,लिटिल रेड राइडिंग हुड,Anak berkerudung merah,Cappuccetto Rosso,Little Red Riding Hood,赤ずきん,Tudung menunggang merah kecil,Rødhette,Czerwony Kapturek,Chapeuzinho Vermelho,Chapeuzinho Vermelho,Красная шапочка,Caperucita roja,Lilla Rödluvan,หนูน้อยหมวกแดง,Kırmızı Başlıklı Kız,Kırmızı Başlıklı Kız,Cô bé quàng khăn đỏ
587,Polonaise Op.40 No.1,Polonaise Op.40 No.1,الرقصة البولندية No.1 Op.40,波兰军队舞曲 Op.40 No.1,波蘭軍隊舞曲,Polonaise Op.40 No.1,Polonaise Op.40 No.1,Polonaise Op.40 No.1,Polonaise OP.40 n ° 1,Polonaise Op.40 No.1,Polonaise Op.40 No.1,Polonaise Op.40 No.1,Polonaise Op.40 n. 1,Polonaise Op. 40 No. 1,ポロネーズ Op.40-1,Polonaise Op.40 No.1,Polonaise Op.40 No.1,Polonise op.40 nr 1,Polonaise Op.40 No.1,Polonaise Op.40 No.1,Полонез Оп. 40 №1,Polonais Op.40 No.1,Polonaise Op.40 No.1,Polonaise op.40 No.1,Polonez Op.40 No.1,Polonez Op.40 No.1,Polonaise Op.40 Số 1
588,Drei Intermezzi,Drei Intermezzi,كلية دبي العقارية فاصل مسرحي,降E大调间奏曲,降E大調間奏曲,Drei intermezzi,Drei Intermezzi,Drei intermezzi,Drei Intermezzi,Drei Intermezzi,DREI INTERMEZZI,Drei Intermazzi,Drei intermezzi,세 개의 인터메지,3つの間奏曲,Drei Intermezzi,Drei Intermezzi,Drei Intermezzi,Drei intermezzi,Drei intermezzi,Три интермеццо,Drei intermezzi,Drei intermezzi,drei intermezzi,Drei Intermelzzi,Üç Intermezzo,Drei Intermezzi
589,Tiger's Family,Tiger's Family,عائلة النمر,老虎一家人,老虎一家人,Tiger's familie,Tiger's Family,Tiikerin perhe,Famille de Tiger,Tiger's Family,टाइगर का परिवार,Keluarga Tiger,La famiglia di Tiger,호랑이의 가족,トラの家族,Keluarga Tiger,Tigers familie,Rodzina Tygrysa,Família de Tiger,Família de Tiger,Семья тигра,Familia del tigre,Tigers familj,ครอบครัวของเสือ,Tiger'ın Ailesi,Kaplanın Ailesi,Gia đình Tiger
590,Longing for Spring K596,Longing for Spring K596,الحنين إلى الربيع K596,渴望春天,渴望春天,Verlangend naar de lente K596,Longing for Spring K596,Kaipaus kevään K596,Désir pour le printemps k596,Longing for Spring K596,वसंत K596 के लिए लालसा,Kerinduan musim semi K596,Desiderio di primavera K596,Longing for Spring K596,春を探して K596,Rindu untuk musim bunga K596,Lengter etter våren K596,Tęsknota za wiosną K596,Ansiando por primavera k596,Ansiando por primavera k596,Тоска по весне K596,Anhelo por la primavera K596,Längtan efter våren K596,ความปรารถนาสำหรับฤดูใบไม้ผลิ K596,Bahar K596 için özlem,Bahar Özlemi K596,Khao khát mùa xuân K596
591,The Holy City,The Holy City,أغنية عيد الفصح No.1,圣城颂,聖城頌,De heilige stad,The Holy City,Pyhä kaupunki,La ville sainte,The Holy City,पवित्र शहर,Kota Suci,La città santa,성스러운 도시,永遠の神の都,Kota suci,Den hellige byen,Jerozolima,A cidade santa,A cidade santa,Святой город,La ciudad santa,Den heliga staden,เมืองศักดิ์สิทธิ์,Kutsal Şehir,Kutsal Şehir,Thành phố thánh
592,The day of resurrection,The day of resurrection,أغنية عيد الفصح No.2,荣耀复活日,榮耀復活日,De dag van de opstanding,The day of resurrection,Ylösnousemuspäivä,Le jour de la résurrection,The day of resurrection,पुनरुत्थान का दिन,Hari Kebangkitan,Il giorno della risurrezione,부활의 날,復活の日,Hari Kebangkitan,Oppstandelsesdagen,Dzień zmartwychwstania,O dia da ressurreição,O dia da ressurreição,День воскресения,El día de la resurrección,Uppståndelsedagen,วันแห่งการฟื้นคืนชีพ,Diriliş Günü,Diriliş Günü,Ngày phục sinh
593,Jesus Christ is risen today,Jesus Christ is risen today,أغنية عيد الفصح No.3,基督复生歌,基督復生歌,Jezus Christus is vandaag opgestaan,Jesus Christ is risen today,Jeesus Kristus on noussut tänään,Jésus-Christ est ressuscité aujourd'hui,Jesus Christ is risen today,यीशु मसीह आज उठ गया है,Yesus Kristus bangkit hari ini,Gesù Cristo è risorto oggi,예수 그리스도는 오늘 부활하셨네,主なるキリストはこの日よみがえりぬ,Yesus Kristus telah bangkit hari ini,Jesus Kristus er oppstanden i dag,Jezus Chrystus jest dziś zmartwychwstałym,Jesus Cristo ressuscitou hoje,Jesus Cristo ressuscitou hoje,Иисус Христос воскрес сегодня,Jesucristo está resucitado hoy,Jesus Kristus är uppstått idag,วันนี้พระเยซูคริสต์ทรงฟื้น,İsa Mesih bugün yükseldi,İsa Mesih Bugün Dirildi,Chúa Giêsu Kitô ngày nay đã sống lại
594,Thine is the Glory,Thine is the Glory,أغنية عيد الفصح No.4,你是荣耀主,你是榮耀主,Uw glorie is,Thine is the Glory,Sinun on kunnia,Toi est la gloire,Thine is the Glory,थिन द ग्लोरी है,Mu adalah kemuliaan,Il tuo è la gloria,주님께 영광,よろこべやたたえよや,Mu adalah kemuliaan,Din er æren,Twoja jest chwałą,Tua é a glória,Tua é a glória,Твоя слава,Tuyo es la gloria,Din är ära,ของคุณคือความรุ่งโรจน์,Senin ihtişam,Zafer Senindir,Thine là vinh quang
595,When He cometh,When He cometh,أغنية عيد الفصح No.5,等主回来,等主回來,Als hij komt,When He cometh,Kun hän tulee,Quand il vient,When He cometh,जब वह कॉमेथ,Saat dia datang,Quando viene,예수께서 오실 때에,主が来たる時,Apabila dia datang,Når han kommer,Kiedy on się przyjmuje,Quando ele vira,Quando ele vira,Когда Он придет,Cuando viene,När han kommer,เมื่อเขามา,Kuyruklu olduğunda,O Geldiğinde,Khi anh ấy đến
596,Thanks to god,Thanks to God,أغنية عيد الفصح No.6,感谢神,感謝神,Dank aan God,Thanks to God,Luojan kiitos,Grâce à Dieu,Thanks to God,भगवान का शुक्रिया,Terimakasih Tuhan,Grazie a Dio,하나님께 감사,神のおかげで,Terima kasih kepada Tuhan,Takk Gud,Dzięki Bogu,Graças a Deus,Graças a Deus,Благодарение Богу,Gracias a Dios,Tack vare Gud,ขอบคุณพระเจ้า,Tanrıya şükür,Tanrı’ya Şükür,Cảm ơn chua
597,Singing I go,Singing I go,الذهاب مع الغناء,生命路上,生命路上,Zingend ik ga,Singing I go,Laulaen menen,Chanter je vais,Singing I go,सिंगिंग आई गो,Bernyanyi aku pergi,Cantando io vado,주 안에 있는 나에게,歌いつつ歩まん,Menyanyi saya pergi,Synger jeg går,"Śpiewam, idę",Cantando eu vou,Cantando eu vou,Я пою,Cantando yo voy,Sjung jag går,ร้องเพลงฉันไป,Şarkı söylüyorum,Şarkı Söyleyerek Gidiyorum,Hát tôi đi
598,Country Dances,Country Dances,رقصات القرية,乡村舞曲,鄉村舞曲,Landelijke dansen,Country Dances,Maa -tanssit,Danses de pays,Country Dances,देश नृत्य,Tarian negara,Balli di campagna,컨트리 댄스,カントリーダンス,Tarian negara,Landsdanser,Tańce krajowe,Dança do país,Dança do país,Контрданс,Bailes de campo,Landsdans,การเต้นรำของประเทศ,Ülke Dansları,Kır Dansları,Nhảy quốc gia
599,La Styrienne,La Styrienne,في ستيريا,斯提利亚人,斯提利亞人,La styrienne,La Styrienne,Lava,La Styrienne,La Styrienne,ला स्टायरिन,La Styrienne,La Styrienne,스타리아의 아가씨,スティリアの女,La Styrienne,La Styrienne,La Styrienne,La Styrienne,La Styrienne,Ла Стиериенн,La Styrienne,La styrienne,La Styrienne,La Styrienne,Stiriya Dansı,La Styrienne
600,Cantata No.147,Cantata No.147,الكنتاتة No. 147,康塔塔 No.147,康塔塔 No.147,Cantate nr. 147,Cantata No.147,Kantaatti nro 147,Cantate n ° 147,Cantata Nr.147,कैंटटा नं .147,Cantata No.147,Cantata n. 147,칸타타 No.147,カンタータ 第147番,Cantata No.147,Cantata No.147,Cantata nr 147,Cantata No.147,Cantata No.147,Кантата №147,Cantata No.147,Cantata No.147,Cantata No.147,Kantata No.147,Kantat No.147,CANTATA No.147
601,Waltz Op.39 No.15,Waltz Op.39 No.15,الفالس No.15 Op. 39,圆舞曲 Op.39 No.15,圓舞曲 Op.39 No.15,Waltz Op.39 nr. 15,Waltz Op.39 No.15,WALTZ OP.39 No.15,Waltz Op.39 No.15,Waltz Op.39 Nr.15,वाल्ट्ज ओपी .39 नंबर 15,Waltz Op.39 No.15,Waltz Op.39 n. 15,왈츠 Op.39 No.15,ワルツ Op.39-15,Waltz Op.39 No.15,Waltz Op.39 No.15,Waltz Op.39 nr 15,Waltz Op.39 No.15,Waltz Op.39 No.15,Вальс Op.39 №15,Waltz Op.39 No.15,Waltz Op.39 No.15,Waltz Op.39 No.15,Vals Op.39 No.15,Vals Op.39 No.15,Waltz Op.39 No.15
602,Sonata K570 Mvt.3,Sonata K570 Mvt.3,السوناتا Mvt.3 K570,奏鸣曲 K570 第三章,奏鳴曲 K570 第三章,Sonata K570 MVT.3,Sonata K570 Mvt.3,Sonata K570 MVT.3,Sonata K570 MVT.3,Sonata K570 3. Satz,सोनाटा K570 MVT.3,Sonata K570 MVT.3,Sonata K570 Mvt.3,소나타 K570 Mvt.3,ソナタ K570 第3楽章,Sonata K570 MVT.3,Sonata K570 MVT.3,Sonata K570 Mvt.3,Sonata K570 MVT.3,Sonata K570 MVT.3,Соната К570 действие 3,Sonata K570 MVT.3,Sonata K570 MVT.3,Sonata K570 MVT.3,Sonata K570 Bölüm 3,Sonat K570 3. Bölüm,Sonata K570 MVT.3
603,The Wayside Rose,The Wayside Rose,الوردة على قارعة الطريق,路旁的玫瑰,路旁的玫瑰,De weg rozen,The Wayside Rose,Tienvarsi ruusu,La rose au bord du chemin,The Wayside Rose,द वेसाइड गुलाब,Jalur jalannya naik,Il bordo della strada si alzò,길가의 장미,ザ・ウェイサイド・ローズ,Wayside naik,Veien steg,Wspólnota wzrosła,O esquecimento subiu,O esquecimento subiu,Придорожная роза,El camino rosa,Vägen steg,ข้างทางเพิ่มขึ้น,Wayside Rose,Yol Kenarındaki Gül,Bông hoa hồng
604,Minuet,Minuet,المينيويت,小步舞曲,小步舞曲,Menuet,Minuet,Menuetti,Menuet,Minuet,एक प्रकार का नाच,Minuet,Minuetto,미뉴에트,メヌエット,Minuet,Minuet,Menuet,Minueto,Minueto,Менуэт,Minué,Menuett,minuet,Menüet,Minüet,Minuet
605,The Last Rose of Summer,The Last Rose of Summer,الوردة الأخيرة في الصيف,夏天最后一朵玫瑰,夏天最後一朵玫瑰,De laatste roos van de zomer,The Last Rose of Summer,Kesän viimeinen ruusu,La dernière rose de l'été,The Last Rose of Summer,गर्मियों का आखिरी गुलाब,Mawar terakhir musim panas,L'ultima rosa dell'estate,여름의 마지막 장미,夏の名残のばら,Mawar terakhir musim panas,Den siste rose av sommeren,Ostatnia róża lata,A última rosa do verão,A última rosa do verão,Последняя роза лета,La última rosa del verano,Den sista rosen på sommaren,ดอกกุหลาบสุดท้ายของฤดูร้อน,Yazın son gülü,Yazın Son Gülü,Hoa hồng cuối cùng của mùa hè
606,Sonata in B-flat Major Mvt.1,Sonata in B-flat Major Mvt.1,سوناتا في سلم سي منخفض الكبير Mvt.1,降B大调奏鸣曲 第一章,降B大調奏鳴曲 第一章,Sonate in B-flat Major MVT.1,Sonata in B-flat Major Mvt.1,Sonaatti blat major mvt.1,Sonata dans le major B-flat.1,Sonata in B-flat Dur 1. Satz,बी-फ्लैट मेजर MVT.1 में सोनाटा,Sonata di B-Flat Mayor MVT.1,Sonata in B-Flat Major Mvt.1,소나타 B플랫 장조 Mvt.1,ソナタ 変ロ長調 第1楽章,Sonata di B-Flat Major Mvt.1,Sonata i B-flat major MVT.1,Sonata w B-Flat Majd Mvt.1,Sonata em B-flat major mvt.1,Sonata em B-flat major mvt.1,"Соната №13, действие 1",Sonata en B-FLat Major MVT.1,Sonata i B-platt major MVT.1,Sonata ใน B-flat Major Mvt.1,B-Flat Major Mvt.1'de Sonata,Si Bemol Majör Sonat 1. Bölüm,Sonata trong B-Flat Major MVT.1
607,Partita No.6,Partita No.6,بارتيتا No.6,帕蒂塔 No.6,帕蒂塔 No.6,Partita nr. 6,Partita No.6,Partita nro 6,Partita n ° 6,Partita Nr.6,पार्टिटा नंबर 6,Partita No.6,Partita n. 6,파르티타 No.6,パルティータ 第6番,Partita No.6,Partita No.6,Partita nr 6,Partita No.6,Partita No.6,Партита №6,Partita No.6,Partita nr 6,Partita No.6,Partita No.6,Partita No.6,Partita số 6
608,Hunter's Chorus,Hunter's Chorus,جوقة الصياد,猎人合唱,獵人合唱,Hunter's koor,Hunter's Chorus,Hunterin kuoro,Chorus du chasseur,Hunter's Chorus,हंटर का कोरस,Paduan Suara Hunter,Il coro di Hunter,사냥꾼의 코러스,狩人の合唱,Chorus Hunter,Hunter's Chorus,Chór Huntera,Coro de Hunter,Coro de Hunter,Охотничий хор,Coro de Hunter,Jägare kör,นักร้องของฮันเตอร์,Avcı Korosu,Avcının Korosu,Điệp khúc của thợ săn
609,Fur Elise,Fur Elise,من أجل إليزة,致爱丽丝,致愛麗絲,Voor Elise,Fur Elise,Turkki,Pour Élise,Für Elise,फुर एलिसे,Fur Elise,Fur Elise,엘리제를 위하여,エリーゼのために,Bulu Elise,For Elise,Dla Elizy,Pur Elise,Pur Elise,К Элизе,Elise de piel,Fur Elise,Fur Elise,Kürk Elise,Elise İçin,Fur Elise
610,Canon ( Rock ),Canon ( Rock ),كاهن (روك),卡农 摇滚版,卡農 搖滾版,Canon (rock),Canon ( Rock ),Canon (rock),Canon rocher ),Canon Rock,यीशू से प्रार्थना करना ),Canon (Rock),Canon (Rock),Canon (Rock),カノン（ロック）,Canon (batu),Canon (Rock),Kanonik ),Canon (rocha),Canon (rocha),Канон(Рок),Canon (rock),Canon (rock),Canon (ร็อค),Canon (Rock),Kanon (Rock),Canon (Rock)
611,Turkish March,Turkish March,مسيرة تركية,土耳其进行曲,土耳其進行曲,Turkse mars,Turkish March,Turkkilainen maaliskuu,Marche turque,Türkischer Marsch,तुर्की मार्च,March Turki,Marcia turca,Turkish March,トルコ行進曲,Mac Turki,Tyrkisk mars,Marsz Turecki,Março turco,Março turco,Турецкий марш,Marcha turca,Turkmarsch,ตุรกีมีนาคม,Türk Marşı,Türk Marşı,Tháng ba Thổ Nhĩ Kỳ
612,Flight of the Bumblebee,Flight of the Bumblebee,رحلة النحلة,野蜂飞舞,野蜂飛舞,Vlucht van de hommel,Flight of the Bumblebee,Kimalaisen lento,Vol du bourdon,Hummelflug,भौंरा की उड़ान,Penerbangan Bumblebee,Il volo del calabrone,범블비의 비행,熊蜂の飛行,Penerbangan Bumblebee,Flight of the Bumblebee,Lot trzmiela,Voo do zangão,Voo do zangão,Полет шмеля,Vuelo del abejorro,Humlans flykt,เที่ยวบินของ Bumblebee,Yaban arısının uçuşu,Yabanarısının Uçuşu,Chuyến bay của Bumblebee
613,Yankee Doodle,Yankee Doodle,ينكي دودل,扬基歌,揚基歌,Yankee Doodle,Yankee Doodle,Yankee Doodle,Yankee Doodle,Yankee Doodle,यांकी डूडले,Doodle Yankee,Yankee Doodle,앙키 낙서,ヤンキー・ドゥードゥル,Yankee Doodle,Yankee Doodle,Yankee Doodle,Yankee Doodle,Yankee Doodle,Янки Дудль,Yankee Doodle,Yankee doodle,Yankee Doodle,Yankee Doodle,Yankee Doodle,Doodle Yankee
614,Ode An Die Freude,Ode to Joy,قصيدة الفرح,欢乐颂,歡樂頌,Ode een dobbelsteen,Ode An Die Freude,Oodi kuolema Free,Ode un Die Freude,Ode an die Freude,एक डाई फ्रायड,Ode freude mati,Ode an Die Freude,환의의 송가,歓喜の歌,Ode an die freude,Ode en die freude,Ode i umrzeć freude,Ode um dado Freude,Ode um dado Freude,Ода к радости,Oda an di freude,Ode en die freude,Ode An Die Freude,Ode bir kalıp freude,Neşeye Övgü,Ode a die freude
615,Auf Flugeln Des Gesanges,Auf Flugeln Des Gesanges,أوف فلجلن دي جسنجس,乘着歌声的翅膀,乘著歌聲的翅膀,AUF Flugeln des Gesanges,Auf Flugeln Des Gesanges,Auf Flugeln des Gesanges,Auf Flugeln des Gesanges,Auf Flügeln des Gesanges,Auf flugeln des gesanges,Auf flugeln des gesanges,Auf Flugeln des Gesanges,Auf Flugeln Des Gesanges,歌の翼に,Auf flugeln des gesanges,Auf Flugeln des Gesanges,Auf Flugeln des gesanges,Auf Flugeln des Gesanges,Auf Flugeln des Gesanges,На крыльях песни,Auf Flugeln des Gesanges,Auf flugeln des gesanges,Auf Flugeln des Gesanges,Şarkının Kanatlarında,Şarkının Kanatları Üzerinde,Auf flugeln des gesanges
616,The Seasons Op.37,The Seasons Op.37,الفصول Op.37,六月船歌,六月船歌,The Seasons Op.37,The Seasons Op.37,Vuodenajat op.37,The Seasons Op.37,Die Vier Jahreszeiten Op.37,द सीजन्स Op.37,Musim Op.37,Le stagioni op.37,사계 Op.37,四季 Op.37,The Seasons Op.37,Årstidene OP.37,Pory roku OP.37,As estações op.37,As estações op.37,Времена Года Op.37,Las estaciones de 37,Säsongerna op.37,ฤดูกาล OP.37,Seasons Op.37,Mevsimler Op.37,Các mùa op.37
617,New World Symphony Mvt.4,New World Symphony Mvt.4,من العالم الجديد Mvt.4,自新大陆,自新大陸,New World Symphony Mvt.4,New World Symphony Mvt.4,New World Symphony MVT.4,New World Symphony Mvt.4,New World Symphony 4. Satz,नई दुनिया सिम्फनी MVT.4,New World Symphony Mvt.4,New World Symphony Mvt.4,신세계 교향곡 Mvt.4,新世界 第4楽章,New World Symphony MVT.4,New World Symphony Mvt.4,Nowy Świat Symphony Mvt.4,Novo Mundo Sinfonia Mvt.4,Novo Mundo Sinfonia Mvt.4,Новый мир Симфония 4 часть,New World Symphony MVT.4,New World Symphony MVT.4,New World Symphony Mvt.4,Yeni Dünya Senfoni Mvt.4,Yeni Dünya Senfonisi 4. Bölüm,Bản giao hưởng thế giới mới MVT.4
618,Paganini Rhapsody Var.18,Paganini Rhapsody Var.18,رابسودي باغانيني Var.18,帕格尼尼主题狂想曲,帕格尼尼主題狂想曲,Paganini Rhapsody var.18,Paganini Rhapsody Var.18,Paganini Rhapsody var.18,Paganini rhapsody var.18,Paganini Rhapsodie 18.Var.,पगनीनी रैप्सोडी var.18,Paganini rhapsody var.18,Paganini Rhapsody var.18,파가니니 랩소디 Var.18,パガニーニ・ラプソディ Var. 18,Paganini Rhapsody Var.18,Paganini Rhapsody Var.18,Paganini Rhapsody Var.18,Paganini Rhapsody Var.18,Paganini Rhapsody Var.18,Паганини Рапсодия вар.18,Paganini Rhapsody var.18,Paganini Rhapsody Var.18,Paganini rhapsody var.18,Paganini Rapsodisi Varyasyon 18,Paganini Rapsodisi 18. Varyasyon,Paganini Rhapsody var.18
619,Nocturne Op.9 No.1,Nocturne Op.9 No.1,نوكتيورن No.1 Op.9,降b小调夜曲,降b小調夜曲,Nocturne Op.9 nr. 1,Nocturne Op.9 No.1,Nocturne Op.9 No.1,Nocturne Op.9 n ° 1,Nocturne Op.9 Nr.1,Nocturne op.9 No.1,Nocturne Op.9 No.1,Nocturne Op.9 n. 1,녹턴 Op.9 No.1,夜想曲 OP.9-1,Nocturne Op.9 No.1,Nocturne Op.9 No.1,Nocturne op.9 nr 1,Nocturne Op.9 No.1,Nocturne Op.9 No.1,Ноктюрн Op.9 №1,Nocturne Op.9 No.1,Nocturne Op.9 No.1,Nocturne Op.9 No.1,Nocturne Op.9 No.1,Nokturn Op.9 No.1,Nocturne Op.9 No.1
620,Sonata Pathetique Mvt.3,Sonata Pathetique Mvt.3,سوناتا بتتيك Mvt.3,悲怆奏鸣曲 第三章,悲愴奏鳴曲 第三章,Sonata Pathetique Mvt.3,Sonata Pathetique Mvt.3,Sonata Pathetique MVT.3,Sonata Pathetique Mvt.3,Sonata Pathetique 3. Satz,सोनाटा पाथेटिक MVT.3,Sonata Pathetique MVT.3,Sonata Pathetique Mvt.3,소나타 파테티크 Mvt.3,ソナタ 悲愴 第3楽章,Sonata Pathetique Mvt.3,Sonata Pathetique MVT.3,Sonata Patetique Mvt.3,Sonata Pathetique Mvt.3,Sonata Pathetique Mvt.3,Патетическая соната 3 часть,Sonata Pathetique MVT.3,Sonata Pathetique MVT.3,Sonata Pottetique Mvt.3,Patetik Sonata Bölüm 3,Patetik Sonat 3. Bölüm,Sonata Pathetique MVT.3
621,Oh! Susanna,Oh! Susanna,أوه! سوزانا,哦，苏珊娜,哦，蘇珊娜,Oh! Susanna,Oh! Susanna,Vai niin! Susanna,Oh! Susanna,Oh! Susanna,ओह! सुज़ाना,Oh! Susanna,OH! Susanna,오! 수잔나,おおスザンナ！,Oh! Susanna,Åh! Susanna,Oh! Susanna,Oh! Susanna,Oh! Susanna,"О, Сюзанна",¡Oh! Susanna,åh! Susanna,โอ้! ซูซานนา,Ah! Susanna,Ah! Susanna,Ồ! Susanna
622,Three Bears,Three Bears,ثلاثة دببة,三只小熊,三隻小熊,Drie beren,Three Bears,Kolme karhua,Trois ours,Die Drei Bären,तीन भालू,Tiga beruang,Tre orsi,곰 세마리,3びきのくま,Tiga beruang,Tre bjørner,Trzy niedźwiedzie,Três ursos,Três ursos,Три Медведя,Tres osos,Tre björnar,หมีสามตัว,Üç Ayı,Üç Ayı,Ba con gấu
623,Red River Valley,Red River Valley,وادي النهر الأحمر,红河谷,紅河谷,Red River Valley,Red River Valley,Red River Valley,Vallée de la rivière rouge,Red River Valley,रेड रिवर वैली,Lembah Sungai Merah,Red River Valley,빨간 강의 계곡,赤い河の谷間,Lembah Sungai Merah,Red River Valley,Dolina Red River,Vale do rio Red,Vale do rio Red,Долина Красной Реки,Valle del Río Rojo,Röd floddal,Red River Valley,Red River Vadisi,Kızıl Nehir Vadisi,Thung lũng sông đỏ
624,The Planets - Jupiter,The Planets - Jupiter,الكواكب - كوكب المشتري,行星组曲 - 木星,行星組曲 - 木星,De planeten - Jupiter,The Planets - Jupiter,Planeetat - Jupiter,Les planètes - Jupiter,Die Planeten - Jupiter,ग्रह - बृहस्पति,Planet - Jupiter,I pianeti - Giove,The Planets - Jupiter,惑星 - 木星,Planet - Musytari,Planetene - Jupiter,Planety - Jowisz,Os planetas - Júpiter,Os planetas - Júpiter,Планет - Юпитер,Los planetas - Júpiter,Planeterna - Jupiter,ดาวเคราะห์ - ดาวพฤหัสบดี,Gezegenler - Jüpiter,Gezegenler - Jüpiter,Các hành tinh - Sao Mộc
625,Hungarian Rhapsody No.2,Hungarian Rhapsody No.2,الرابسودي الهنغاري No.2,匈牙利狂想曲No.2,匈牙利狂想曲No.2,Hongaarse Rhapsody No.2,Hungarian Rhapsody No.2,Unkarin Rhapsody No.2,Rhapsodie hongroise n ° 2,Ungarische Rhapsodie Nr.2,हंगेरियन रैप्सोडी नंबर 2,Hongaria Rhapsody No.2,Rhapsody ungherese n. 2,헝가리 랩소디 No.2,ハンガリー 狂詩曲 第2番,Hungary Rhapsody No.2,Ungarsk Rhapsody No.2,Węgierski Rhapsody nr 2,Rhapsody húngaro No.2,Rhapsody húngaro No.2,Венгерская Рапсодия №2,Rapsodia húngara No.2,Ungerska rhapsody nr 2,ฮังการี Rhapsody No.2,Macar Rhapsody No.2,Macar Rapsodisi No.2,Hungary Rhapsody số 2
